Date;All sky;Clear sky
2006\2\5;5.23;1.30
2006\2\6;5.13;1.35
2006\2\7;5.01;1.40
2006\2\8;5.23;1.45
2006\2\9;4.94;1.42
2006\2\10;5.57;1.45
2006\2\11;5.24;1.49
2006\2\12;4.65;1.59
2006\2\13;4.60;1.66
2006\2\14;5.45;1.63
2006\2\15;4.76;1.75
2006\2\16;5.06;1.82
2006\2\17;5.47;1.83
2006\2\18;5.60;1.87
2006\2\19;5.91;1.86
2006\2\20;5.45;1.80
2006\2\21;5.90;2.03
2006\2\22;5.27;2.17
2006\2\23;5.00;2.20
2006\2\24;5.03;2.29
2006\2\25;5.95;2.28
2006\2\26;5.34;2.42
2006\2\27;5.12;2.52
2006\2\28;5.23;2.59
2006\3\1;4.80;2.63
2006\3\2;5.52;2.69
2006\3\3;4.53;2.71
2006\3\4;5.10;2.77
2006\3\5;5.38;2.71
2006\3\6;4.78;2.91
2006\3\7;5.38;3.00
2006\3\8;4.85;2.93
2006\3\9;5.02;3.17
2006\3\10;5.08;3.21
2006\3\11;5.85;3.32
2006\3\12;6.12;3.36
2006\3\13;5.23;3.32
2006\3\14;5.13;3.51
2006\3\15;5.31;3.55
2006\3\16;5.39;3.66
2006\3\17;5.65;3.68
2006\3\18;5.98;3.76
2006\3\19;6.03;3.79
2006\3\20;5.83;3.94
2006\3\21;5.34;4.06
2006\3\22;5.23;4.14
2006\3\23;5.14;4.11
2006\3\24;4.94;4.38
2006\3\25;5.20;4.40
2006\3\26;5.91;4.46
2006\3\27;5.48;4.59
2006\3\28;6.58;4.45
2006\3\29;6.69;4.57
2006\3\30;6.42;4.58
2006\3\31;6.57;4.68
2006\4\1;6.80;4.65
2006\4\2;6.05;4.96
2006\4\3;6.61;5.02
2006\4\4;6.37;5.05
2006\4\5;6.61;4.91
2006\4\6;6.59;5.10
2006\4\7;6.94;5.34
2006\4\8;6.63;5.33
2006\4\9;6.48;5.38
2006\4\10;6.59;5.36
2006\4\11;6.18;5.37
2006\4\12;6.70;5.50
2006\4\13;6.50;5.77
2006\4\14;6.72;5.56
2006\4\15;6.77;5.67
2006\4\16;7.12;5.82
2006\4\17;7.09;5.75
2006\4\18;7.32;6.04
2006\4\19;7.00;5.92
2006\4\20;6.82;6.13
2006\4\21;7.32;6.06
2006\4\22;6.79;6.15
2006\4\23;6.04;6.47
2006\4\24;5.89;6.51
2006\4\25;6.46;6.56
2006\4\26;6.29;6.70
2006\4\27;6.27;6.50
2006\4\28;6.55;6.66
2006\4\29;6.12;6.69
2006\4\30;5.64;7.17
2006\5\1;6.56;6.75
2006\5\2;6.31;5.79
2006\5\3;6.37;5.80
2006\5\4;6.46;5.67
2006\5\5;6.94;5.90
2006\5\6;7.17;6.30
2006\5\7;6.87;7.18
2006\5\8;6.37;7.17
2006\5\9;6.54;7.23
2006\5\10;7.22;7.49
2006\5\11;6.81;7.28
2006\5\12;6.43;7.74
2006\5\13;7.16;6.14
2006\5\14;7.41;7.48
2006\5\15;7.12;7.62
2006\5\16;7.18;7.70
2006\5\17;6.58;7.98
2006\5\18;7.07;7.74
2006\5\19;7.68;7.46
2006\5\20;8.12;7.49
2006\5\21;8.00;7.54
2006\5\22;8.19;6.10
2006\5\23;8.41;7.67
2006\5\24;7.79;7.79
2006\5\25;7.65;7.25
2006\5\26;7.14;7.94
2006\5\27;7.70;7.83
2006\5\28;7.30;6.79
2006\5\29;7.24;7.96
2006\5\30;7.44;7.85
2006\5\31;7.66;8.03
2006\6\1;8.07;7.78
2006\6\2;8.52;7.98
2006\6\3;7.16;8.45
2006\6\4;8.23;8.00
2006\6\5;8.26;7.88
2006\6\6;7.77;7.92
2006\6\7;7.67;8.22
2006\6\8;8.09;8.20
2006\6\9;7.78;8.13
2006\6\10;8.20;8.49
2006\6\11;8.48;8.22
2006\6\12;7.87;8.57
2006\6\13;8.07;8.50
2006\6\14;8.04;8.44
2006\6\15;8.53;8.07
2006\6\16;8.47;8.30
2006\6\17;8.51;7.30
2006\6\18;8.34;7.72
2006\6\19;8.37;7.57
2006\6\20;8.73;7.84
2006\6\21;9.00;7.82
2006\6\22;8.67;8.16
2006\6\23;9.11;7.31
2006\6\24;9.02;8.23
2006\6\25;9.07;8.09
2006\6\26;8.29;8.25
2006\6\27;8.75;7.95
2006\6\28;8.94;8.02
2006\6\29;8.83;8.06
2006\6\30;8.08;8.53
2006\7\1;8.24;8.69
2006\7\2;8.15;8.32
2006\7\3;8.31;8.46
2006\7\4;7.99;8.31
2006\7\5;8.91;8.09
2006\7\6;9.05;7.86
2006\7\7;8.42;7.47
2006\7\8;8.66;7.37
2006\7\9;8.74;7.56
2006\7\10;9.08;7.60
2006\7\11;9.23;6.84
2006\7\12;8.89;7.93
2006\7\13;8.06;8.18
2006\7\14;9.13;7.38
2006\7\15;9.01;7.55
2006\7\16;8.19;7.72
