;Category;Name;Place;Origin;Sowing date;Crop date;Bloom date;Sow to Crop;Crop to Bloom;Harvest;Protein;Oil
2893;10660;ПЭП 28;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-10;17.0;29.0;288.6;38.9;19.2
2912;10676;Степная 85;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-13;17.0;32.0;195.36;42.9;17.7
2931;10677;Степная 90;Пушкин;Россия;2006-05-25;2006-06-09;2006-07-14;15.0;35.0;99.9;46.1;16.5
2941;10678;СибНИИК 15/83;Пушкин;Россия;2006-05-25;2006-06-09;2006-07-13;15.0;34.0;261.96;44.9;17.8
2961;10680;Восход*1191/79;Пушкин;Россия;2006-05-25;2006-06-09;2006-07-21;15.0;42.0;128.76;44.0;16.0
2975;5589;Fiskeby 840-2-7;Пушкин;Швеция;2006-05-25;2006-06-10;2006-07-15;16.0;35.0;250.86;42.3;17.0
2994;5826;Fiskeby 840-7-3;Пушкин;Швеция;2006-05-25;2006-06-11;2006-07-13;17.0;32.0;388.5;36.5;18.0
3012;5829;Fiskeby V;Пушкин;Швеция;2006-05-25;2006-06-09;2006-07-15;15.0;36.0;190.92;36.5;18.8
3032;5830;Fiskeby 1040-4-2;Пушкин;Швеция;2006-05-25;2006-06-09;2006-07-13;15.0;34.0;224.22;38.8;19.3
3050;6793;Bravalla;Пушкин;Швеция;2006-05-25;2006-06-09;2006-07-13;15.0;34.0;188.7;37.8;19.1
3070;9587;Белор;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-21;17.0;40.0;199.8;41.7;18.0
3088;9648;Mapl Ridge;Пушкин;Канада;2006-05-25;2006-06-11;2006-07-13;17.0;32.0;146.52;41.7;17.1
3108;9659;Магева;Пушкин;Россия;2006-05-25;2006-06-09;2006-07-14;15.0;35.0;186.48;42.9;17.1
3126;9837;Sito;Пушкин;Германия;2006-05-25;2006-06-11;2006-07-13;17.0;32.0;326.34;38.8;19.1
3146;9922;Major;Пушкин;Франция;2006-05-25;2006-06-09;2006-07-13;15.0;34.0;288.6;39.2;16.8
3165;9951;УСХИ 6;Пушкин;Россия;2006-05-25;2006-06-09;2006-07-21;15.0;42.0;102.12;45.5;15.7
3222;9953;Соер 4;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-21;17.0;40.0;51.06;42.3;16.7
3240;9959;Окская;Пушкин;Россия;2006-05-25;2006-06-11;2006-07-15;17.0;34.0;130.98;41.3;16.8
3259;9960;Светлая;Пушкин;Россия;2006-05-25;2006-06-07;2006-07-13;13.0;36.0;199.8;40.1;17.7
3279;9959;Окская;КОС;Россия;2004-05-07;2004-05-17;2004-06-21;10.0;36.0;125.84;41.6;19.3
3289;10043;Алтом;КОС;Россия;2004-05-07;2004-05-17;2004-06-25;10.0;40.0;390.39;39.7;21.0
3294;10388;Соер 13-91;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;92.95;40.4;22.0
3304;10539;RG-20;КОС;Канада;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;180.18;32.8;24.4
3314;10659;ПЭП 27;КОС;Россия;2004-05-07;2004-05-17;2004-06-23;10.0;38.0;75.79;35.8;22.7
3321;10623;Мадева;КОС;Россия;2004-05-07;2004-05-17;2004-06-22;10.0;37.0;258.83;38.9;21.8
